u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
5954632,946086,248589,Aaron Reynolds,4.08,11371,1945
5648179,3473,2345,Nicholas Sparks,4.05,3988112,120921
6212289,5821978,151371,Jenny Han,4.08,430012,44160
6111416,6202342,498072,Audrey Niffenegger,3.89,1244800,54478
6111416,682761,365431,Edith Hahn Beer,4.12,20600,1649
6111416,619916,335156,Lucette  Lagnado,4.00,2509,126
6111416,319300,183491,Amanda Foreman,3.81,14994,1223
6111416,575831,97986,Janet Gleeson,3.63,2074,275
6773186,293595,5086768,Bill Martin Jr.,4.17,303626,6987
6493635,100915,1069006,C.S. Lewis,4.11,3729584,79064
7433642,2165,1455,Ernest Hemingway,3.81,1330319,44923
5704188,18160,10953,Kevin D. Mitnick,3.88,19076,1505
