u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
1772888,260683,1742,Jack Kerouac,3.73,419301,17121
1772888,533471,163302,Randy P. Conner,4.27,85,10
1772888,57913,5752454,Robert Shea,4.01,17093,848
1772888,263144,116876,Albert J. Bernstein,3.84,1324,146
1772888,168668,3167,Joseph Heller,3.95,515657,12786
1250747,13521,7025,Gregory Maguire,3.50,722257,39807
1250747,6460985,32587,Bryan Burrough,4.11,22373,1166
1250747,5022538,6223,Linda Lael Miller,4.06,145908,7806
1250747,3570231,669810,Jeaniene Frost,4.22,631344,34284
1250747,629071,41942,Simon R. Green,3.94,209882,8698
1250747,1421990,669810,Jeaniene Frost,4.22,631344,34284
1250747,2168860,669810,Jeaniene Frost,4.22,631344,34284
1250747,20564828,1080585,Jocelynn Drake,3.88,37110,2493
1250747,186074,108424,Patrick Rothfuss,4.49,616291,42819
1250747,14460,8988,Carrie Vaughn,3.83,207042,15571
1250747,1928873,375626,Lara Adrian,4.18,309993,14380
1250747,1240662,20248,J.R. Ward,4.30,1345524,71361
1250747,47241,26546,Wen Spencer,4.06,17234,1128
1250747,1791118,229221,L.H. Maynard,3.91,2333,83
1250747,62530,1654,Terry Pratchett,4.12,2704621,83103
1250747,2733642,1196106,Lee Hunt,3.14,147,39
1250747,4498953,1259835,Kari Sperring,3.53,684,177
1250747,1057502,75750,Russell Kirkpatrick,3.47,2860,219
1250747,24800,13974,Mark Z. Danielewski,4.06,85434,8379
1250747,5040403,1080585,Jocelynn Drake,3.88,37110,2493
1250747,1057502,75750,Russell Kirkpatrick,3.47,2860,219
1887276,16054217,3849415,Deborah Harkness,4.02,378298,40638
1887276,19004663,2384,Janet Evanovich,3.99,2513223,103713
1887276,14740588,2384,Janet Evanovich,3.99,2513223,103713
1887276,13413589,40563,Patricia Briggs,4.24,845095,40351
1887276,17908462,2384,Janet Evanovich,3.99,2513223,103713
1887276,16059409,6545271,S.M. Wheeler,3.47,350,127
1887276,2054504,821338,Sadie Jones,3.28,14174,2411
1887276,2772564,88301,Elin Hilderbrand,3.77,262482,21133
1887276,7234768,3275,Jeannette Walls,4.16,719917,51624
1887276,187049,6252,Robert Jordan,4.14,1507561,33315
1887276,1166599,6252,Robert Jordan,4.14,1507561,33315
1887276,8253920,6252,Robert Jordan,4.14,1507561,33315
1887276,13151175,250598,Carsten Stroud,3.47,3212,576
1887276,12408735,5544,Frank E. Peretti,4.06,225537,6909
1887276,9215188,570218,Dalai Lama XIV,4.16,136673,6536
1887276,12099550,114504,Scott Sigler,4.05,55697,5297
1887276,13165313,1132803,Andrew Blackwell,3.66,1154,228
1887276,12880428,7577,Anne Rice,3.85,1540074,39287
1887276,12025910,158170,Dana Stabenow,3.99,84242,5898
1887276,9680114,16304,Julianna Baggott,3.79,38066,5344
1887276,155,128382,Leo Tolstoy,4.02,691955,30651
1887276,577537,947,William Shakespeare,3.85,4460160,65504
1887276,652083,880695,H.G. Wells,3.80,643738,18729
1887276,10545,5144,James Joyce,3.73,281642,13098
1887276,4788505,2448,Arthur Conan Doyle,4.20,1143040,32932
1887276,70790,1240,Jack London,3.90,468408,13370
1887276,10558,4785,Alexandre Dumas,4.12,863351,21941
1887276,116594,3242,L. Frank Baum,3.95,386369,13704
1887276,265016,947,William Shakespeare,3.85,4460160,65504
1887276,29981,880695,H.G. Wells,3.80,643738,18729
1887276,34068,947,William Shakespeare,3.85,4460160,65504
1887276,602314,6988,Bram Stoker,3.95,609813,16619
1887276,17152,881203,Willa Cather,3.79,169457,11515
1887276,10843755,2821144,Ellen Hopkins,4.24,397706,26241
1887276,15059811,27804,John Katzenbach,3.93,36154,2838
1887276,11559200,3849415,Deborah Harkness,4.02,378298,40638
1887276,12037108,12940,Elmore Leonard,3.74,138426,9252
1887276,13147230,1654,Terry Pratchett,4.12,2704621,83103
1887276,12275680,2384,Janet Evanovich,3.99,2513223,103713
1887276,8205669,2384,Janet Evanovich,3.99,2513223,103713
1887276,3400816,2384,Janet Evanovich,3.99,2513223,103713
1887276,11746513,2384,Janet Evanovich,3.99,2513223,103713
1887276,9583508,2384,Janet Evanovich,3.99,2513223,103713
1887276,6048530,2384,Janet Evanovich,3.99,2513223,103713
1887276,13037538,5324198,Rhiannon Held,3.68,1716,303
1887276,13155103,5365669,Elizabeth Percer,3.16,1020,210
1887276,10262588,13371,Loren D. Estleman,3.92,24644,1909
