book_isbn,avg_rating,five_rating,four_rating,three_rating,two_rating,one_rating
1400032717,4.3,56,26,10,4,4
0439554934,4.8,86,9,3,1,1
1596923377,4.9,87,13,0,0,0
1400063612,4.1,50,23,17,4,6
0670018260,4.5,74,13,2,6,5
0307268195,4.7,77,17,4,1,1
0151010404,4.1,51,27,11,3,8
0156010593,4.1,51,26,15,2,6
0156028794,3.7,42,23,11,14,10
0156007754,3.9,46,24,12,8,10
0385522266,3.8,45,22,14,8,11
074349282X,4.0,53,21,10,9,7
0060513039,4.9,92,5,1,1,1
0061120081,4.7,82,11,3,2,2
1250040523,4.1,45,34,9,10,2
074329114X,4.3,72,9,7,7,5
0061624780,4.0,42,30,20,7,1
0375835431,4.6,89,0,0,0,11
1416903542,4.3,64,20,6,4,6
1416903569,4.5,72,14,6,4,4
0689865198,4.5,71,19,5,2,3
0553381695,4.5,71,19,6,2,2
1416917489,3.9,62,2,11,12,13
0451223292,4.0,48,26,11,8,7
0061558230,4.1,48,28,13,7,4
0307269981,4.5,68,20,7,3,2
1416914633,4.3,64,18,7,3,8
0307347974,4.4,63,20,10,7,0
0307269752,4.0,50,24,10,7,9
0786017813,4.0,44,27,18,6,5
0545010225,4.8,85,9,3,1,2
055357342X,4.6,78,14,4,2,2
1427811377,4.5,60,27,13,0,0
0786029293,4.3,56,23,13,7,1
0786023600,4.3,61,23,7,7,2
0375831002,4.6,76,16,4,2,2
1435136179,5.0,100,0,0,0,0
0425165582,4.3,61,20,10,7,2
1936383799,3.3,28,27,14,12,19
0671741039,4.6,79,11,5,3,2
0061558222,4.3,56,28,11,2,3
0307346609,4.2,56,24,11,5,4
0441363954,4.3,59,23,10,3,5
1595328343,4.4,74,10,0,16,0
1416984488,4.3,56,28,10,4,2
1560258500,3.6,30,28,21,12,9
038549565X,4.7,78,17,3,1,1
0340977019,3.8,47,20,13,7,13
1416950052,4.4,68,16,8,4,4
067973225X,3.9,48,21,13,7,11
1842322761,4.2,54,27,8,6,5
1905307144,4.3,57,26,7,5,5
0316057770,4.6,76,14,5,3,2
0786849002,4.5,73,16,5,2,4
0064408639,4.6,70,23,5,1,1
0439272637,4.3,55,30,9,3,3
0439206480,4.6,71,22,4,1,2
